# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	-0.004379531	-0.11935822	6.695334e-05	-0.0087983	0.04348064	-0.014918225	2.5e-07
0	-0.0016703362	-0.116699204	6.680885e-05	-0.010403067	0.044074636	-0.015536661	2.6e-07
0	0.013016007	-0.11669443	6.678163e-05	-0.01242542	0.04345057	-0.015216226	2.7e-07
0	0.005815495	-0.11933714	6.8378e-05	-0.015280515	0.0443671	-0.017834762	2.8e-07
0	-0.0044389633	-0.119345225	6.838001e-05	-0.016282484	0.042494524	-0.01732041	2.9e-07
0	-0.008870233	-0.11933886	6.833432e-05	-0.020860832	0.0436386	-0.018216925	3e-07
0	-0.004444667	-0.11935371	6.996805e-05	-0.021308405	0.039407447	-0.020739125	3.1e-07
0	0.0058206245	-0.11932152	5.016772e-05	-0.0220207	0.03890202	-0.019625323	3.2e-07
0	-0.0044054794	-0.11933118	4.7574453e-05	-0.02588578	0.03612114	-0.017992923	3.3e-07
0	0.012912985	-0.11664471	0.0001607433	-0.028063722	0.03051547	-0.01525191	3.4e-07
0	0.0028663862	-0.11672793	2.3329714e-05	-0.027563663	0.024771158	-0.0143936705	3.5e-07
0	0.005951367	-0.119360946	2.8646295e-05	-0.028143866	0.020014994	-0.012426646	3.6e-07
0	0.0059510698	-0.11935771	2.8714012e-05	-0.025252141	0.017268227	-0.010602167	3.7e-07
0	0.002889293	-0.11668392	8.67026e-05	-0.020930061	0.017327828	-0.008501918	3.8e-07
0	0.002889293	-0.11668392	8.670319e-05	-0.019932587	0.016383186	-0.0075030234	3.9e-07
0	0.0015204183	-0.11935458	2.87106e-05	-0.020775257	0.014290823	-0.0066946736	4e-07
0	-0.008672927	-0.119368814	2.7118871e-05	-0.02040686	0.013206758	-0.00600403	4.1e-07
0	-0.0015414769	-0.11667743	8.669951e-05	-0.018013686	0.013924175	-0.0055673528	4.2e-07
0	-0.001541477	-0.11667743	8.669992e-05	-0.01811452	0.012849099	-0.0051595755	4.3e-07
0	-0.0005200769	-0.12181518	-3.9838425e-05	-0.019326627	0.011153331	-0.004821776	4.4e-07
0	-0.00429835	-0.11936474	-1.6239707e-06	-0.018388703	0.0105684595	-0.0041740974	4.5e-07
0	0.0028892935	-0.11668392	8.6701366e-05	-0.016538443	0.011739659	-0.0041693277	4.6e-07
0	0.0028892115	-0.11668063	8.6699794e-05	-0.01683702	0.01052151	-0.0038116113	4.7e-07
0	0.005951237	-0.119361095	2.8715305e-05	-0.018254448	0.008440157	-0.0033324992	4.8e-07
0	0.013142809	-0.11667261	8.670793e-05	-0.01617477	0.010215885	-0.0034830398	4.9e-07
0	0.0059513682	-0.119360946	2.8646053e-05	-0.018138045	0.0074984287	-0.0029234418	5e-07
0	0.008715612	-0.11671133	4.006723e-07	-0.016210271	0.009126281	-0.0030741196	5.1e-07
0	-0.001541477	-0.11667743	8.669992e-05	-0.016392767	0.008558445	-0.0028883074	5.2e-07
0	0.0015205039	-0.11935108	2.8641749e-05	-0.018526947	0.005044563	-0.0021541696	5.3e-07
0	0.013142809	-0.11667261	8.670649e-05	-0.01701535	0.006737761	-0.002323926	5.4e-07
0	0.008711758	-0.11666282	8.670355e-05	-0.017184557	0.006341089	-0.0021339604	5.5e-07
0	0.013142068	-0.11666605	8.670223e-05	-0.017121613	0.0060807266	-0.0020083068	5.6e-07
0	0.013146417	-0.11671785	4.0025543e-07	-0.017343849	0.005496971	-0.0017814586	5.7e-07
0	-0.008732843	-0.1193659	2.8630011e-05	-0.019955592	0.00011050402	-0.0005870602	5.8e-07
0	-0.004242269	-0.11937529	2.7123335e-05	-0.020330176	-0.00065693195	-0.00028314488	5.9e-07
0	0.013146417	-0.11671784	4.0008064e-07	-0.018834598	0.001990589	-0.0005774497	6e-07
0	0.0059513682	-0.11936093	2.864589e-05	-0.021955853	-0.0049746158	0.0011988597	6.1e-07
0	-0.0015378689	-0.11672264	3.9959653e-07	-0.01947033	0.00036419087	0.00014844144	6.2e-07
0	-0.0015414337	-0.11667415	8.6697735e-05	-0.020166475	-0.0011375367	0.0008407032	6.3e-07
0	0.013142809	-0.11667263	8.670774e-05	-0.02051325	-0.0032154894	0.0015911552	6.4e-07
0	0.0028892935	-0.11668392	8.6701984e-05	-0.021161603	-0.005886988	0.002614221	6.5e-07
0	-0.008728606	-0.1380071	-8.256519e-05	-0.019754725	-0.024407757	0.0061800806	6.6e-07
0	0.0060108695	-0.11936386	2.7135546e-05	-0.021075785	-0.021660395	0.0077931974	6.7e-07
0	-0.008732725	-0.119362675	2.8696611e-05	-0.019571673	-0.025471013	0.010077165	6.8e-07
0	-0.008732841	-0.1193659	2.8628921e-05	-0.016278835	-0.02422922	0.010061555	6.9e-07
0	0.008711757	-0.11666284	8.67027e-05	-0.018327383	-0.016525062	0.009005434	7e-07
0	-0.008672927	-0.119368814	2.711914e-05	-0.01131289	-0.029221427	0.01273749	7.1e-07
0	-0.008732842	-0.1193659	2.8629647e-05	-0.008453354	-0.0324823	0.016633881	7.2e-07
0	0.0028893752	-0.11668721	8.670272e-05	-0.014837786	-0.021760998	0.013884316	7.3e-07
0	-0.0015415201	-0.11668073	8.6701824e-05	-0.013261685	-0.027168304	0.017356347	7.4e-07
0	-0.008735253	-0.119355544	-9.776386e-06	-0.0033803254	-0.028221078	0.018998418	7.5e-07
0	-0.004665795	-0.11966988	1.9089408e-05	-0.0016315038	-0.028455807	0.018765736	7.6e-07
