Fun_x_in_m	Fun_Bx_average_in_mT	Fun_By_average_in_mT	Fun_Bz_average_in_mT
-2.420000000000e-07	-3.562798600250e+01	2.099360985505e+01	-6.899760657182e+00
-2.400000000000e-07	-3.475342673769e+01	2.016674016000e+01	-6.635048088153e+00
-2.380000000000e-07	-3.389894894787e+01	1.938075492588e+01	-6.383170793079e+00
-2.360000000000e-07	-3.306441925950e+01	1.863332439570e+01	-6.143414596937e+00
-2.340000000000e-07	-3.224967421848e+01	1.792229427662e+01	-5.915118369927e+00
-2.320000000000e-07	-3.145448584914e+01	1.724563131361e+01	-5.697656849764e+00
-2.300000000000e-07	-3.067858983878e+01	1.660143598255e+01	-5.490444985903e+00
-2.280000000000e-07	-2.992165318607e+01	1.598789802844e+01	-5.292923874202e+00
-2.260000000000e-07	-2.918334741480e+01	1.540334393436e+01	-5.104576256327e+00
-2.240000000000e-07	-2.846330702492e+01	1.484619336928e+01	-4.924912734821e+00
-2.220000000000e-07	-2.776116020489e+01	1.431496874174e+01	-4.753475038169e+00
-2.200000000000e-07	-2.707649040188e+01	1.380825970729e+01	-4.589824759759e+00
-2.180000000000e-07	-2.640889990660e+01	1.332476269960e+01	-4.433556287312e+00
-2.160000000000e-07	-2.575797646026e+01	1.286324452263e+01	-4.284285203775e+00
-2.140000000000e-07	-2.512331013233e+01	1.242255186646e+01	-4.141651518229e+00
-2.120000000000e-07	-2.450446335055e+01	1.200158136677e+01	-4.005310101066e+00
-2.100000000000e-07	-2.390102706554e+01	1.159931276226e+01	-3.874941538427e+00
-2.080000000000e-07	-2.331258250433e+01	1.121477999054e+01	-3.750242897936e+00
-2.060000000000e-07	-2.273872488574e+01	1.084707815491e+01	-3.630930077743e+00
-2.040000000000e-07	-2.217902856003e+01	1.049533981259e+01	-3.516730214830e+00
-2.020000000000e-07	-2.163309687033e+01	1.015876298659e+01	-3.407390856351e+00
-2.000000000000e-07	-2.110053393257e+01	9.836586380506e+00	-3.302671995344e+00
-1.980000000000e-07	-2.058095555447e+01	9.528096873221e+00	-3.202348582631e+00
-1.960000000000e-07	-2.007396420326e+01	9.232608918831e+00	-3.106203886749e+00
-1.940000000000e-07	-1.957919377579e+01	8.949488291901e+00	-3.014037276230e+00
-1.920000000000e-07	-1.909627627579e+01	8.678132574092e+00	-2.925657938623e+00
-1.900000000000e-07	-1.862486165063e+01	8.417976264996e+00	-2.840886574106e+00
-1.880000000000e-07	-1.816458739108e+01	8.168474622203e+00	-2.759550197216e+00
-1.860000000000e-07	-1.771511876287e+01	7.929123947028e+00	-2.681488778810e+00
-1.840000000000e-07	-1.727612598859e+01	7.699444225754e+00	-2.606549623520e+00
-1.820000000000e-07	-1.684729133017e+01	7.478985143938e+00	-2.534589375875e+00
-1.800000000000e-07	-1.642828890894e+01	7.267311500986e+00	-2.465469284245e+00
-1.780000000000e-07	-1.601882125645e+01	7.064020512514e+00	-2.399060877763e+00
-1.760000000000e-07	-1.561859044913e+01	6.868728421537e+00	-2.335241630207e+00
